Histogram

Polygon 1;;
Temperature °C;Density %;
23,0481;0,0;
23,0888;0,0;
23,1296;0,1;
23,2111;0,1;
23,2518;0,1;
23,3333;0,1;
23,3741;0,1;
23,4148;0,1;
23,4963;0,2;
23,537;0,2;
23,6185;0,1;
23,6593;0,3;
23,7408;0,2;
23,7815;0,2;
23,863;0,1;
23,9037;0,2;
23,9852;0,2;
24,026;0,1;
24,0667;0,2;
24,1482;0,2;
24,1889;0,2;
24,2704;0,2;
24,3112;0,2;
24,3927;0,2;
24,4334;0,3;
24,5149;0,2;
24,5556;0,5;
24,5964;0,5;
24,6779;0,7;
24,7186;0,8;
24,8001;1,4;
24,8409;1,7;
24,9223;2,3;
24,9631;2,6;
25,0446;3,0;
25,0853;3,5;
25,1261;3,6;
25,2076;3,6;
25,2483;3,5;
25,3298;3,6;
25,3705;4,0;
25,452;3,6;
25,4928;3,6;
25,5743;3,6;
25,615;3,8;
25,6557;4,3;
25,7372;3,9;
25,778;4,3;
25,8595;3,5;
25,9002;4,4;
25,941;4,3;
26,0224;4,4;
26,0632;3,8;
26,1447;3,1;
26,1854;2,1;
26,2669;1,5;
26,3077;1,3;
26,3484;1,1;
26,4299;0,8;
26,4706;0,6;
26,5521;0,4;
26,5929;0,6;
26,6744;0,4;
26,7151;0,2;
26,7559;0,2;
26,8373;0,2;
26,8781;0,1;
26,9596;0,1;
27,0003;0,0;
27,1226;0,0;
27,367;0,0;
27,4485;0,0;
27,9782;0,0;
28,1004;0,0;
28,2227;0,0;
