prad,napiecie,power,setcurrent
0.003,4.001,0.0,1
0.0,4.001,0.0,101
0.009,4.001,0.0,201
0.009,4.001,0.0,301
0.009,4.001,0.0,401
0.009,4.001,0.0,501
0.21,4.001,0.8,601
0.314,3.584,1.0,701
0.599,3.207,1.9,801
0.758,2.973,2.3,901
0.87,2.854,2.5,1001
0.963,2.752,2.7,1101
1.057,2.64,2.8,1201
1.168,2.509,2.9,1301
1.262,2.351,3.0,1401
1.36,2.184,3.0,1501
1.461,2.043,3.1,1601
1.558,1.902,3.0,1701
1.673,1.764,3.0,1801
1.787,1.728,3.1,1901
1.875,1.676,3.1,2001
1.962,1.689,3.3,2101
2.074,1.614,3.3,2201
2.168,1.54,3.3,2301
2.261,1.417,3.2,2401
2.377,1.28,3.0,2501
2.469,1.216,3.0,2601
2.562,1.132,2.9,2701
2.676,1.068,2.9,2801
2.751,0.99,2.8,2901
2.867,0.928,2.7,3001
2.964,0.824,2.4,3101
3.076,0.735,2.3,3201
3.201,0.62,2.0,3301
3.296,0.532,1.8,3401
3.377,0.447,1.5,3501
3.487,0.327,1.1,3601
3.524,0.279,1.0,3701
3.538,0.274,1.0,3801
3.538,0.274,1.0,3901
3.531,0.272,1.0,4001
3.531,0.272,1.0,4101
3.524,0.272,1.0,4201
3.516,0.272,1.0,4301
3.516,0.272,1.0,4401
3.509,0.272,1.0,4501
3.502,0.272,1.0,4601
3.494,0.27,0.9,4701
3.494,0.27,0.9,4801
3.487,0.27,0.9,4901
3.48,0.27,0.9,5001
3.48,0.27,0.9,5101
3.487,0.27,0.9,5201
3.494,0.27,0.9,5301
3.487,0.27,0.9,5401
3.48,0.27,0.9,5501
3.48,0.27,0.9,5601
3.472,0.27,0.9,5701
3.458,0.268,0.9,5801
3.45,0.268,0.9,5901
3.436,0.266,0.9,6001
3.37,0.26,0.9,6101
3.333,0.258,0.9,6201
3.362,0.26,0.9,6301
3.362,0.26,0.9,6401
3.37,0.26,0.9,6501
3.362,0.26,0.9,6601
3.362,0.258,0.9,6701
3.355,0.258,0.9,6801
3.348,0.258,0.9,6901
3.355,0.26,0.9,7001
3.399,0.263,0.9,7101
3.384,0.263,0.9,7201
3.34,0.258,0.9,7301
3.348,0.258,0.9,7401
3.333,0.258,0.9,7501
3.355,0.26,0.9,7601
3.465,0.267,0.9,7701
3.436,0.266,0.9,7801
3.37,0.26,0.9,7901
3.384,0.26,0.9,8001
3.428,0.264,0.9,8101
3.377,0.262,0.9,8201
3.34,0.258,0.9,8301
3.325,0.258,0.9,8401
3.303,0.256,0.8,8501
3.296,0.254,0.8,8601
3.281,0.252,0.8,8701
3.267,0.252,0.8,8801
3.252,0.252,0.8,8901
3.237,0.25,0.8,9001
3.23,0.25,0.8,9101
3.296,0.256,0.8,9201
3.34,0.258,0.9,9301
3.355,0.258,0.9,9401
3.37,0.26,0.9,9501
3.399,0.262,0.9,9601
3.399,0.262,0.9,9701
3.406,0.262,0.9,9801
3.392,0.262,0.9,9901
