prad,napiecie,power,setcurrent
0.003,3.981,0.0,1
0.0,3.981,0.0,101
0.065,3.959,0.3,201
0.168,3.959,0.7,301
0.278,3.937,1.1,401
0.373,3.917,1.5,501
0.46,3.917,1.8,601
0.571,3.896,2.2,701
0.679,3.876,2.6,801
0.751,3.856,2.9,901
0.871,3.856,3.4,1001
0.965,3.834,3.7,1101
1.077,3.814,4.1,1201
1.171,3.814,4.5,1301
1.264,3.792,4.8,1401
1.358,3.77,5.1,1501
1.472,3.75,5.5,1601
1.566,3.73,5.8,1701
1.66,3.73,6.2,1801
1.772,3.708,6.6,1901
1.848,3.688,6.8,2001
1.964,3.665,7.2,2101
2.065,3.665,7.6,2201
2.162,3.643,7.9,2301
2.274,3.622,8.2,2401
2.386,3.593,8.6,2501
2.495,3.577,8.9,2601
2.562,3.565,9.1,2701
2.673,3.544,9.5,2801
2.766,3.524,9.7,2901
2.881,3.506,10.1,3001
2.969,3.485,10.3,3101
3.083,3.462,10.7,3201
3.201,3.448,11.0,3301
3.289,3.431,11.3,3401
3.384,3.409,11.5,3501
3.516,3.379,11.9,3601
3.604,3.36,12.1,3701
3.715,3.337,12.4,3801
3.781,3.325,12.6,3901
3.92,3.304,12.9,4001
4.008,3.276,13.1,4101
4.096,3.251,13.3,4201
4.207,3.217,13.5,4301
4.295,3.192,13.7,4401
4.375,3.173,13.9,4501
4.478,3.151,14.1,4601
4.603,3.116,14.3,4701
4.691,3.079,14.4,4801
4.809,3.037,14.6,4901
4.897,2.983,14.6,5001
5.007,2.93,14.7,5101
5.102,2.896,14.8,5201
5.19,2.857,14.8,5301
5.308,2.804,14.9,5401
5.396,2.712,14.6,5501
5.491,2.619,14.4,5601
5.587,2.504,14.1,5701
5.712,2.43,13.9,5801
5.8,2.377,13.8,5901
5.895,2.309,13.6,6001
6.005,2.183,13.1,6101
6.101,2.047,12.5,6201
6.211,1.873,11.8,6301
6.321,1.735,11.0,6401
6.387,1.676,10.7,6501
6.505,1.581,10.3,6601
6.593,1.459,9.8,6701
6.718,1.358,9.1,6801
6.806,1.154,7.9,6901
6.908,0.976,6.7,7001
7.041,0.781,5.5,7101
7.107,0.668,4.7,7201
7.136,0.596,4.3,7301
7.129,0.579,4.1,7401
7.136,0.577,4.1,7501
7.18,0.575,4.1,7601
7.217,0.571,4.1,7701
7.224,0.573,4.1,7801
7.195,0.575,4.1,7901
7.151,0.579,4.1,8001
7.136,0.579,4.1,8101
7.151,0.577,4.1,8201
7.195,0.573,4.1,8301
7.232,0.571,4.1,8401
7.217,0.573,4.1,8501
7.18,0.577,4.1,8601
7.143,0.579,4.1,8701
7.136,0.579,4.1,8801
7.158,0.575,4.1,8901
7.209,0.573,4.1,9001
7.232,0.571,4.1,9101
7.217,0.573,4.1,9201
7.187,0.577,4.1,9301
7.158,0.581,4.2,9401
7.151,0.581,4.2,9501
7.173,0.577,4.1,9601
7.209,0.573,4.1,9701
7.239,0.573,4.1,9801
7.224,0.575,4.2,9901
