prad,napiecie,power,setcurrent
0.003,3.897,0.0,100
0.047,3.897,0.2,200
0.166,3.877,0.6,300
0.273,3.857,1.1,400
0.371,3.837,1.4,500
0.451,3.837,1.7,600
0.559,3.816,2.1,700
0.661,3.795,2.5,800
0.755,3.795,2.9,900
0.868,3.773,3.3,1000
0.961,3.753,3.6,1100
1.074,3.753,4.0,1200
1.149,3.732,4.3,1300
1.265,3.71,4.7,1400
1.37,3.687,5.1,1500
1.464,3.687,5.4,1600
1.558,3.665,5.7,1700
1.671,3.645,6.1,1800
1.765,3.645,6.4,1900
1.859,3.624,6.7,2000
1.972,3.595,7.1,2100
2.067,3.579,7.4,2200
2.16,3.565,7.7,2300
2.273,3.55,8.1,2400
2.365,3.536,8.4,2500
2.459,3.52,8.7,2600
2.571,3.499,9.0,2700
2.665,3.482,9.3,2800
2.761,3.465,9.6,2900
2.872,3.447,9.9,3000
2.947,3.432,10.1,3100
3.105,3.413,10.6,3200
3.179,3.388,10.8,3300
3.289,3.37,11.1,3400
3.384,3.35,11.3,3500
3.502,3.332,11.6,3600
3.582,3.314,11.9,3700
3.707,3.296,12.2,3800
3.795,3.276,12.4,3900
3.891,3.261,12.7,4000
3.986,3.23,12.9,4100
4.089,3.203,13.1,4200
4.207,3.174,13.4,4300
4.273,3.156,13.5,4400
4.383,3.137,13.7,4500
4.486,3.113,14.0,4600
4.581,3.083,14.1,4700
4.684,3.043,14.3,4800
4.787,3.003,14.4,4900
4.882,2.965,14.5,5000
4.977,2.927,14.6,5100
5.095,2.902,14.8,5200
5.198,2.845,14.8,5300
5.286,2.789,14.7,5400
5.403,2.698,14.6,5500
5.521,2.614,14.4,5600
5.602,2.567,14.4,5700
5.69,2.522,14.4,5800
5.792,2.441,14.2,5900
5.903,2.356,13.9,6000
5.991,2.242,13.4,6100
6.108,2.12,12.9,6200
6.204,2.002,12.4,6300
6.299,1.942,12.2,6400
6.402,1.852,11.9,6500
6.519,1.725,11.2,6600
6.629,1.575,10.4,6700
6.718,1.384,9.3,6800
6.813,1.247,8.7,6900
6.93,1.117,7.7,7000
7.011,1.038,7.3,7100
7.107,0.93,6.6,7200
7.18,0.738,5.6,7300
7.298,0.632,4.6,7400
7.32,0.612,4.5,7500
7.305,0.617,4.5,7600
7.276,0.619,4.5,7700
7.239,0.619,4.5,7800
7.239,0.617,4.5,7900
