prad,napiecie,power,setcurrent
0.003,4.323,0.0,1
0.0,4.323,0.0,101
0.064,4.296,0.2,201
0.168,4.296,0.7,301
0.265,4.269,1.1,401
0.376,4.269,1.5,501
0.453,4.243,1.9,601
0.571,4.216,2.4,701
0.663,4.216,2.8,801
0.756,4.189,3.2,901
0.875,4.189,3.7,1001
0.966,4.162,4.0,1101
1.06,4.135,4.4,1201
1.162,4.135,4.8,1301
1.272,4.109,5.2,1401
1.367,4.109,5.5,1501
1.466,4.082,6.0,1601
1.579,4.082,6.4,1701
1.669,4.055,6.8,1801
1.781,4.028,7.1,1901
1.892,4.001,7.6,2001
1.911,4.001,7.6,2101
1.911,4.001,7.6,2201
1.911,4.001,7.6,2301
1.911,4.001,7.6,2401
2.013,4.001,8.1,2501
2.132,3.97,8.5,2601
2.46,3.913,9.6,2701
2.667,3.886,10.4,2801
2.767,3.866,10.7,2901
2.861,3.845,11.0,3001
2.969,3.822,11.3,3101
3.105,3.798,11.8,3201
3.193,3.777,12.1,3301
3.311,3.755,12.4,3401
3.392,3.734,12.7,3501
3.509,3.714,13.0,3601
3.597,3.694,13.3,3701
3.707,3.653,13.5,3801
3.788,3.653,13.8,3901
3.906,3.629,14.2,4001
4.008,3.592,14.4,4101
4.096,3.57,14.6,4201
4.177,3.535,14.8,4301
4.295,3.509,15.1,4401
4.39,3.47,15.2,4501
4.493,3.445,15.5,4601
4.596,3.419,15.7,4701
4.684,3.381,15.9,4801
4.823,3.339,16.1,4901
4.882,3.274,16.0,5001
5.0,3.23,16.1,5101
5.102,3.16,16.1,5201
5.19,3.125,16.2,5301
5.286,3.072,16.3,5401
5.381,3.013,16.2,5501
5.506,2.882,15.9,5601
5.587,2.775,15.5,5701
5.69,2.678,15.2,5801
5.814,2.589,15.1,5901
5.903,2.523,14.9,6001
6.02,2.378,14.3,6101
6.108,2.215,13.5,6201
6.24,1.254,7.8,6301
6.314,0.542,4.1,6401
6.343,0.45,2.9,6501
6.314,0.452,2.9,6601
6.277,0.454,2.8,6701
6.27,0.454,2.8,6801
6.306,0.452,2.9,6901
6.343,0.45,2.9,7001
6.358,0.45,2.9,7101
6.336,0.45,2.9,7201
6.292,0.452,2.8,7301
6.277,0.452,2.8,7401
6.292,0.454,2.9,7501
6.336,0.45,2.9,7601
6.365,0.45,2.9,7701
6.372,0.45,2.9,7801
6.343,0.454,2.9,7901
6.306,0.456,2.9,8001
6.299,0.456,2.9,8101
6.336,0.454,2.9,8201
6.38,0.45,2.9,8301
6.395,0.45,2.9,8401
6.38,0.452,2.9,8501
6.343,0.454,2.9,8601
6.321,0.456,2.9,8701
6.336,0.456,2.9,8801
6.372,0.452,2.9,8901
6.409,0.452,2.9,9001
6.417,0.452,2.9,9101
6.387,0.454,2.9,9201
6.336,0.456,2.9,9301
6.336,0.456,2.9,9401
6.358,0.454,2.9,9501
6.409,0.452,2.9,9601
6.417,0.45,2.9,9701
6.402,0.454,2.9,9801
6.358,0.456,2.9,9901
