prad,napiecie,power,setcurrent
0.003,4.028,0.0,1
0.0,4.028,0.0,101
0.046,4.028,0.2,201
0.11,4.001,0.4,301
0.11,4.001,0.4,401
0.11,4.001,0.4,501
0.11,4.001,0.4,601
0.11,4.001,0.4,701
0.425,3.963,1.7,801
0.653,3.921,2.6,901
0.867,3.9,3.4,1001
0.964,3.878,3.7,1101
1.074,3.857,4.1,1201
1.154,3.857,4.5,1301
1.268,3.837,4.9,1401
1.381,3.815,5.3,1501
1.475,3.815,5.6,1601
1.584,3.795,6.0,1701
1.671,3.773,6.3,1801
1.763,3.752,6.6,1901
1.875,3.752,7.0,2001
1.969,3.73,7.3,2101
2.066,3.71,7.6,2201
2.168,3.689,8.0,2301
2.262,3.689,8.3,2401
2.378,3.668,8.7,2501
2.47,3.647,9.0,2601
2.566,3.626,9.3,2701
2.684,3.605,9.7,2801
2.755,3.594,9.9,2901
2.875,3.576,10.3,3001
2.966,3.552,10.5,3101
3.076,3.529,10.9,3201
3.193,3.508,11.2,3301
3.274,3.492,11.4,3401
3.399,3.478,11.8,3501
3.487,3.462,12.1,3601
3.604,3.441,12.4,3701
3.693,3.414,12.6,3801
3.788,3.392,12.9,3901
3.913,3.37,13.2,4001
3.979,3.355,13.4,4101
4.096,3.338,13.7,4201
4.185,3.317,13.9,4301
4.302,3.283,14.1,4401
4.375,3.262,14.3,4501
4.493,3.23,14.5,4601
4.618,3.202,14.8,4701
4.728,3.18,15.0,4801
4.809,3.163,15.2,4901
4.919,3.114,15.3,5001
4.985,3.071,15.4,5101
5.124,3.028,15.5,5201
5.22,2.985,15.6,5301
5.301,2.959,15.7,5401
5.389,2.926,15.8,5501
5.484,2.87,15.7,5601
5.609,2.765,15.5,5701
5.712,2.667,15.3,5801
5.807,2.589,15.0,5901
5.895,2.514,14.9,6001
6.013,2.459,14.8,6101
6.101,2.375,14.5,6201
6.189,2.236,13.8,6301
6.306,1.856,11.7,6401
6.395,1.169,7.5,6501
6.497,0.529,3.4,6601
6.49,0.461,3.0,6701
6.461,0.465,3.0,6801
6.453,0.465,3.0,6901
6.475,0.463,3.0,7001
6.519,0.461,3.0,7101
6.534,0.461,3.0,7201
6.512,0.465,3.0,7301
6.468,0.467,3.0,7401
6.453,0.467,3.0,7501
6.483,0.465,3.0,7601
6.527,0.463,3.0,7701
6.549,0.461,3.0,7801
6.534,0.461,3.0,7901
6.49,0.465,3.0,8001
6.475,0.467,3.0,8101
6.483,0.467,3.0,8201
6.519,0.463,3.0,8301
6.549,0.461,3.0,8401
6.556,0.461,3.0,8501
6.534,0.463,3.0,8601
6.497,0.467,3.0,8701
6.483,0.467,3.0,8801
6.497,0.465,3.0,8901
6.519,0.463,3.0,9001
6.556,0.461,3.0,9101
6.563,0.463,3.0,9201
6.541,0.465,3.0,9301
6.505,0.469,3.1,9401
6.49,0.469,3.0,9501
6.505,0.467,3.0,9601
6.549,0.465,3.0,9701
6.578,0.463,3.0,9801
6.563,0.465,3.1,9901
